,day_covid,total_covid,day_traffic,day_bus,day_subway,date
20200901,87,4106,4366076,3780626,4948942,2020-09-01
20200902,64,4170,3825694,3648144,4757519,2020-09-02
20200903,46,4216,3831995,3632946,4735517,2020-09-03
20200904,55,4271,4825860,3929956,5244125,2020-09-04
20200905,58,4329,4272119,2521631,2991611,2020-09-05
20200906,44,4373,3824973,1683686,1999466,2020-09-06
20200907,76,4449,3377828,3586759,4726687,2020-09-07
20200908,30,4479,4330379,3961564,5271254,2020-09-08
20200909,47,4526,4342596,3854552,5176649,2020-09-09
20200910,64,4590,4593047,3958261,5297550,2020-09-10
20200911,49,4639,4843499,4035039,5464496,2020-09-11
20200912,34,4673,4435448,2581961,3170463,2020-09-12
20200913,41,4714,4490744,1924817,2372088,2020-09-13
20200914,36,4750,4546040,4225983,5664479,2020-09-14
20200915,49,4799,4499129,4336353,5788366,2020-09-15
20200916,62,4861,4452219,4306085,5719380,2020-09-16
20200917,43,4904,4520890,4361671,5844229,2020-09-17
20200918,40,4944,4974686,4516899,6139300,2020-09-18
20200919,28,4972,4913821,3174250,3957900,2020-09-19
20200920,23,4995,4773275,2217460,2746575,2020-09-20
20200921,39,5034,4632729,4500677,6046732,2020-09-21
20200922,40,5074,4640275,4579020,6144769,2020-09-22
20200923,25,5099,4654773,4619333,6198234,2020-09-23
20200924,54,5153,4697790,4623175,6213430,2020-09-24
20200925,25,5178,5006939,4777674,6486062,2020-09-25
20200926,35,5213,4681550,3318218,4158898,2020-09-26
20200927,18,5231,3904805,2360046,2878620,2020-09-27
20200928,26,5257,4852003,1002686,6242699,2020-09-28
20200929,36,5293,5023684,1681366,6146266,2020-09-29
20200930,30,5323,3950425,1342026,2509420,2020-09-30
20201001,11,5334,4122837,1414065,1784389,2020-10-01
20201002,26,5360,4295250,1835895,2450793,2020-10-02
20201003,16,5376,4038988,2264411,3006974,2020-10-03
20201004,19,5395,3504125,2123091,2714550,2020-10-04
20201005,18,5413,4342493,4532331,6176818,2020-10-05
20201006,30,5443,4505420,4621226,6330727,2020-10-06
20201007,20,5463,4546148,4675046,6399696,2020-10-07
20201008,22,5485,4950971,4769037,6649853,2020-10-08
20201009,25,5510,4781694,2974442,3991088,2020-10-09
20201010,24,5534,4612418,3208912,4143646,2020-10-10
20201011,31,5565,4614394,2323336,3020149,2020-10-11
20201012,20,5585,4615382,4687293,6468662,2020-10-12
20201013,22,5607,4616371,4765543,6607629,2020-10-13
20201014,25,5632,4616229,4802560,6649346,2020-10-14
20201015,18,5650,4817434,4754886,6613350,2020-10-15
20201016,18,5668,5018639,4840307,6843500,2020-10-16
20201017,20,5688,4837732,3512228,4746060,2020-10-17
20201018,15,5703,4747278,2519678,3328708,2020-10-18
20201019,13,5716,4656825,4761771,6595258,2020-10-19
20201020,14,5730,4638294,4878521,6765828,2020-10-20
20201021,18,5748,4636520,4856792,6751454,2020-10-21
20201022,20,5768,4634747,4861178,6770118,2020-10-22
20201023,22,5790,5046180,4978086,7077858,2020-10-23
20201024,17,5807,5014222,3504941,4897754,2020-10-24
20201025,23,5830,4465126,2580285,3478664,2020-10-25
20201026,21,5851,4687274,4784713,6696975,2020-10-26
20201027,31,5882,4647660,4866223,6821817,2020-10-27
20201028,31,5913,4643278,1023267,6898878,2020-10-28
20201029,52,5965,4673999,2944745,6885557,2020-10-29
20201030,46,6011,4885718,1984006,7161554,2020-10-30
20201031,45,6056,5097437,2464375,5054519,2020-10-31
20201101,23,6079,4115483,2363381,3175198,2020-11-01
20201102,25,6104,4582831,4796757,6746611,2020-11-02
20201103,35,6139,4557342,4875158,6825713,2020-11-03
20201104,37,6176,4551117,4881139,6847990,2020-11-04
20201105,40,6216,4632770,4890992,6894668,2020-11-05
20201106,43,6259,5030908,4945453,7089930,2020-11-06
20201107,45,6304,5012096,3574102,4998889,2020-11-07
20201108,46,6350,4409536,2640982,3591699,2020-11-08
20201109,48,6398,4611324,4755096,6715744,2020-11-09
20201110,53,6451,4582849,4909966,6911740,2020-11-10
20201111,54,6505,4629380,4979263,7012485,2020-11-11
20201112,69,6574,4606114,4904413,6956283,2020-11-12
20201113,74,6648,5082605,5005028,7148546,2020-11-13
20201114,80,6728,4844359,3504645,4939498,2020-11-14
20201115,85,6813,4739990,2597093,3492397,2020-11-15
20201116,90,6903,4635621,4732332,6677964,2020-11-16
20201117,92,6995,4558114,4822535,6759810,2020-11-17
20201118,109,7104,4332261,4795142,6660873,2020-11-18
20201119,112,7216,4106408,4586739,6328551,2020-11-19
20201120,121,7337,4969666,4808292,6836154,2020-11-20
20201121,132,7469,4427168,3194343,4372198,2020-11-21
20201122,133,7602,3884671,2212783,2931066,2020-11-22
20201123,142,7744,4531660,4518156,6324094,2020-11-23
20201124,155,7899,4476053,4414297,6189734,2020-11-24
20201125,156,8055,4477706,4443518,6203114,2020-11-25
20201126,158,8213,4502296,4230106,6013021,2020-11-26
20201127,159,8372,4773148,4218179,6005015,2020-11-27
